data_dir,C,DB_H,DB_V,SB,N,theta_estimate,delta_phi_estimate
2025-05-23--18h-27m-01s,1.0,17.0,29.0,33.0,80.0,1.7236754105760652,0.1698338530039141
2025-05-23--18h-27m-01s,1.5,17.0,24.0,37.5,80.0,1.6597460635890153,0.1945306253576709
2025-05-23--18h-27m-01s,0.5,19.0,26.0,34.5,80.0,1.6597460635890153,0.11804207133728374
2025-05-23--18h-27m-01s,0.5,16.0,28.0,35.5,80.0,1.7236754105760652,0.11638281703913975
2025-05-23--18h-27m-01s,1.0,14.0,24.0,41.0,80.0,1.6980429924657525,0.1526515855116385
2025-05-23--18h-27m-01s,1.5,20.0,29.0,29.5,80.0,1.685259305751304,0.21858715421125594
2025-05-23--18h-27m-01s,1.0,18.0,27.0,34.0,80.0,1.685259305751304,0.1673647224480998
2025-05-23--18h-27m-01s,1.5,10.0,32.0,36.5,80.0,1.8537445165690392,0.1971098350241604
2025-05-23--18h-27m-01s,1.0,14.0,26.0,39.0,80.0,1.7236754105760652,0.15645478250875602
2025-05-23--18h-27m-01s,0.5,14.0,37.0,28.5,80.0,1.8669862578349514,0.12974809628614278
2025-05-23--18h-27m-01s,1.5,15.0,30.0,33.5,80.0,1.7623204087099549,0.20551015367264494
2025-05-23--18h-27m-01s,1.0,17.0,28.0,34.0,80.0,1.710847622844456,0.1673647224480998
2025-05-23--18h-27m-01s,2.0,22.0,48.0,48.0,120.0,1.7925761065488726,0.1984385210822072
2025-05-23--18h-27m-01s,3.0,14.0,50.0,53.0,120.0,1.8802817296301395,0.23021779762280917
2025-05-23--18h-27m-01s,1.5,24.0,37.0,57.5,120.0,1.6810023530175744,0.15778711620133287
2025-05-23--18h-27m-01s,1.5,32.0,35.0,51.5,120.0,1.596179763204715,0.16656530665531105
2025-05-23--18h-27m-01s,3.0,17.0,47.0,53.0,120.0,1.8274105528289257,0.23021779762280917
2025-05-23--18h-27m-01s,2.0,22.0,37.0,59.0,120.0,1.6980429924657525,0.1794231161750091
2025-05-23--18h-27m-01s,1.0,18.0,52.0,49.0,120.0,1.8625665212079103,0.13981195308489874
2025-05-23--18h-27m-01s,1.5,24.0,42.0,52.5,120.0,1.7236754105760652,0.16500025197837404
2025-05-23--18h-27m-01s,2.0,20.0,41.0,57.0,120.0,1.7494094936123683,0.18247550736878637
2025-05-23--18h-27m-01s,2.5,19.0,46.0,52.5,120.0,1.8012573642211054,0.2117463452419459
2025-05-23--18h-27m-01s,2.0,23.0,42.0,53.0,120.0,1.732241243343613,0.1890789065915234
