eta,theta,p_sb,p_c,p_db_h,p_db_v,delta
0.8150000000000001,1.5676484383644458,0.4355997034211047,0.035464554340687744,0.26613288257381484,0.2628028596643925,0.0
0.8150000000000001,1.573944215225347,0.4355997034211048,0.03546455434068782,0.26280285966439276,0.2661328825738148,0.0
0.8150000000000001,1.5802399920862487,0.43556195033396666,0.03546429197291473,0.25949194743086146,0.26948181026225726,0.0
0.8150000000000001,1.58653576894715,0.43548645182080276,0.03546376729060972,0.25620034789291946,0.27284943299566816,0.0
0.8150000000000001,1.5928315458080513,0.4353732232013748,0.03546298040023869,0.25292825915435024,0.2762355372440361,0.0
0.8150000000000001,1.5991273226689526,0.43522228744916924,0.03546193146145749,0.2496758753655499,0.27963990572382325,0.0
0.8150000000000001,1.6054230995298542,0.4350336751840137,0.035460620687060906,0.246443386687338,0.28306231744158716,0.0
0.8150000000000001,1.6117188763907555,0.4348074246622405,0.035459048342914,0.24323097925607415,0.28650254773877154,0.0
0.8150000000000001,1.6180146532516568,0.43454358176439967,0.035457214747866964,0.24003883515008992,0.28996036833764316,0.0
0.8150000000000001,1.6243104301125584,0.43424219998053454,0.03545512027365258,0.23686713235745827,0.29343554738835437,0.0
0.8150000000000001,1.6306062069734597,0.4339033403930221,0.03545276534476703,0.23371604474510918,0.2969278495171018,0.0
0.8150000000000001,1.636901983834361,0.4335270716569923,0.035450150438334556,0.23058574202930743,0.3004370358753655,0.0
0.8150000000000001,1.6431977606952624,0.4331134699783409,0.03544727608395304,0.2274763897475084,0.30396286419019786,0.0
0.8150000000000001,1.649493537556164,0.43266261908934,0.03544414286352585,0.22438814923159617,0.3075050888155381,0.0
0.8150000000000001,1.6557893144170652,0.4321746102218714,0.035440751411075874,0.22132117758252412,0.3110634607845285,0.0
0.8150000000000001,1.6620850912779666,0.4316495420782919,0.03543710241254171,0.21827562764636108,0.31463772786280514,0.0
0.8150000000000001,1.668380868138868,0.4310875207999491,0.03543319660556044,0.21525164799175542,0.3182276346027351,0.0
0.8150000000000001,1.6746766449997694,0.43048865993336927,0.0354290347792318,0.21224938288882667,0.3218329223985721,0.0
0.8150000000000001,1.6809724218606708,0.4298530803941346,0.03542461777386709,0.20926897228948996,0.3254533295425083,0.0
0.8150000000000001,1.687268198721572,0.4291809104284717,0.03541994648072311,0.20631055180922026,0.32908859128158485,0.0
0.8150000000000001,1.6935639755824736,0.428472285572576,0.035415021841717666,0.20337425271026452,0.33273843987544177,0.0
0.8150000000000001,1.699859752443375,0.42772734860969364,0.03540984484913339,0.20046020188630434,0.33640260465486826,0.0
0.8150000000000001,1.7061555293042763,0.4269462495249882,0.03540441654530282,0.1975685218485732,0.3400808120811356,0.0
0.8150000000000001,1.7124513061651778,0.42612914545821656,0.03539873802228003,0.1946993307134335,0.34377278580606985,0.0
0.8150000000000001,1.7187470830260791,0.4252762006542456,0.03539281042149631,0.19185274219141432,0.3474782467328435,0.0
0.8150000000000001,1.7250428598869805,0.4243875864114341,0.035386634933401974,0.18902886557771043,0.35119691307745343,0.0
0.8150000000000001,1.7313386367478818,0.4234634810279136,0.03538021279709254,0.18622780574414458,0.35492850043084945,0.0
0.8150000000000001,1.7376344136087833,0.4225040697457966,0.03537354529992127,0.18344966313259273,0.3586727218216892,0.0
0.8150000000000001,1.7439301904696847,0.4215095446933485,0.035366633777097416,0.18069453374987077,0.3624292877796832,0.0
0.8150000000000001,1.750225967330586,0.4204801048251519,0.035359479611269694,0.17796250916407774,0.36619790639950067,0.0
0.8150000000000001,1.7565217441914875,0.4194159558603012,0.03535208423209785,0.17525367650239884,0.36997828340520206,0.0
0.8150000000000001,1.7628175210523889,0.41831731021866236,0.035344449115808876,0.17256811845035852,0.3737701222151701,0.0
0.8150000000000001,1.7691132979132902,0.4171843869552333,0.03533657578474133,0.16990591325252125,0.37757312400750404,0.0
0.8150000000000001,1.7754090747741915,0.4160174116926439,0.035328465806875445,0.1672671347146357,0.3813869877858447,0.0
0.8150000000000001,1.781704851635093,0.4148166165518321,0.03532012079535232,0.16465185220721368,0.38521141044560187,0.0
0.8150000000000001,1.7880006284959944,0.41358224008093725,0.035311542407979374,0.16206013067053815,0.38904608684054504,0.0
0.8150000000000001,1.7942964053568957,0.41231452718244976,0.03530273234672392,0.15949203062109182,0.3928907098497345,0.0
0.8150000000000001,1.8005921822177973,0.41101372903865785,0.03529369235719515,0.15694760815939768,0.3967449704447494,0.0
0.8150000000000001,1.8068879590786986,0.40968010303543334,0.03528442422811457,0.15442691497926261,0.40060855775718945,0.0
0.8150000000000001,1.8131837359396,0.4083139126843989,0.03527492979077501,0.1519299983784116,0.40448115914641436,0.0
0.8150000000000001,1.8194795128005012,0.4069154275435195,0.0352652109184889,0.1494569012705044,0.4083624602674868,0.0
